cpu_percent,memory_percent,cmdline_length,network_connections_count,suspicious_keyword_count,label
20.02,26.51,132,0,0,BENIGN
3.53,12.51,49,0,0,BENIGN
18.73,14.72,108,11,0,BENIGN
29.12,9.4,63,2,0,BENIGN
10.35,1.33,24,0,0,BENIGN
2.27,18.34,89,2,0,BENIGN
25.67,10.35,139,1,0,BENIGN
14.53,23.26,87,1,0,BENIGN
0.85,8.9,30,0,0,BENIGN
87.76,33.79,255,3,1,MALICIOUS
77.27,26.9,66,7,2,MALICIOUS
15.45,8.85,76,0,0,BENIGN
53.14,11.52,141,0,0,BENIGN
98.33,44.99,126,4,1,MALICIOUS
63.97,24.46,33,0,0,BENIGN
2.81,8.03,119,4,0,BENIGN
92.81,30.3,154,8,2,MALICIOUS
1.32,11.1,113,0,0,BENIGN
72.87,26.62,234,3,1,MALICIOUS
76.13,9.22,90,5,2,MALICIOUS
2.92,1.65,82,0,0,BENIGN
36.99,24.78,133,4,0,BENIGN
81.79,24.22,190,3,0,BENIGN
85.32,20.93,297,5,3,MALICIOUS
9.71,5.59,52,1,0,BENIGN
58.74,43.76,282,1,2,MALICIOUS
13.09,12.03,105,4,0,BENIGN
2.55,1.85,52,0,0,BENIGN
69.3,34.93,230,3,2,MALICIOUS
94.43,29.63,173,4,4,MALICIOUS
1.61,29.28,121,4,0,BENIGN
65.58,42.68,134,2,0,BENIGN
37.97,14.43,126,3,3,MALICIOUS
0.18,10.83,93,4,0,BENIGN
0.04,20.29,107,0,0,BENIGN
0.25,3.48,55,2,0,BENIGN
65.5,23.78,94,0,0,BENIGN
93.03,15.43,85,6,2,MALICIOUS
3.54,1.95,27,3,0,BENIGN
4.8,1.56,15,2,0,BENIGN
11.59,5.86,117,3,0,BENIGN
1.0,7.49,53,0,0,BENIGN
1.3,9.59,110,3,0,BENIGN
